Country,Total Laid Off
United States,258159
India,35993
Netherlands,17220
Sweden,11264
Brazil,10691
Germany,8701
United Kingdom,7148
Canada,6319
Singapore,5995
China,5905
Israel,3708
Indonesia,3521
Australia,2324
Nigeria,1882
United Arab Emirates,995
France,915
Hong Kong,730
Austria,570
Russia,400
Kenya,349
Estonia,333
Argentina,323
Senegal,300
Mexico,270
Ireland,257
Finland,250
Spain,250
Denmark,240
Myanmar,200
Norway,140
Colombia,130
Bulgaria,120
Portugal,115
Malaysia,100
Japan,85
Romania,80
Seychelles,75
Switzerland,62
Lithuania,60
Thailand,55
Luxembourg,45
New Zealand,45
Chile,30
Poland,25
Pakistan,NULL
Hungary,NULL
Italy,NULL
Turkey,NULL
South Korea,NULL
Vietnam,NULL
Egypt,NULL
